mask:192.168.22.0/24|id:2
mask:223.254.0.0/16|id:3
mask:1.24.0.0/13|id:3
mask:1.56.0.0/13|id:3
mask:1.188.0.0/14|id:3
mask:14.204.0.0/15|id:3
mask:27.8.0.0/13|id:3
mask:27.36.0.0/14|id:3
mask:27.40.0.0/13|id:3
mask:27.50.128.0/17|id:3
mask:27.54.192.0/18|id:3
mask:27.98.224.0/19|id:3
mask:27.106.128.0/18|id:3
mask:27.115.0.0/17|id:3
mask:27.192.0.0/11|id:3
mask:36.32.0.0/14|id:3
mask:36.248.0.0/14|id:3
mask:39.64.0.0/11|id:3
mask:42.1.128.0/17|id:3
mask:42.4.0.0/14|id:3
mask:42.48.0.0/15|id:3
mask:42.51.0.0/16|id:3
mask:42.52.0.0/14|id:3
mask:42.56.0.0/14|id:3
mask:42.63.0.0/16|id:3
mask:42.84.0.0/14|id:3
mask:42.176.0.0/13|id:3
mask:42.224.0.0/12|id:3
mask:58.16.0.0/13|id:3
mask:58.24.0.0/15|id:3
mask:58.66.192.0/18|id:3
mask:58.67.128.0/17|id:3
mask:58.83.32.0/19|id:3
mask:58.83.64.0/19|id:3
mask:58.116.0.0/14|id:3
mask:58.128.0.0/13|id:3
mask:58.144.0.0/16|id:3
mask:58.240.0.0/12|id:3
mask:59.107.0.0/18|id:3
mask:59.107.64.0/19|id:3
mask:60.0.0.0/11|id:3
mask:60.63.0.0/16|id:3
mask:60.194.0.0/15|id:3
mask:60.204.0.0/18|id:3
mask:60.206.0.0/15|id:3
mask:60.208.0.0/12|id:3
mask:60.255.0.0/16|id:3
mask:61.28.0.0/17|id:3
mask:61.48.0.0/13|id:3
mask:61.133.0.0/17|id:3
mask:61.134.96.0/19|id:3
mask:61.134.128.0/17|id:3
mask:61.135.0.0/16|id:3
mask:61.136.0.0/17|id:3
mask:61.137.128.0/17|id:3
mask:61.138.0.0/17|id:3
mask:61.138.128.0/18|id:3
mask:61.139.128.0/18|id:3
mask:61.148.0.0/15|id:3
mask:61.156.0.0/16|id:3
mask:61.158.0.0/16|id:3
mask:61.159.0.0/18|id:3
mask:61.161.0.0/18|id:3
mask:61.161.128.0/17|id:3
mask:61.162.0.0/15|id:3
mask:61.167.0.0/16|id:3
mask:61.168.0.0/16|id:3
mask:61.176.0.0/16|id:3
mask:61.179.0.0/16|id:3
mask:61.180.128.0/17|id:3
mask:61.181.0.0/16|id:3
mask:61.182.0.0/16|id:3
mask:61.189.0.0/17|id:3
mask:61.216.99.204/30|id:3
mask:61.240.0.0/14|id:3
mask:101.16.0.0/12|id:3
